nested,independent,process_number,dimensions,mode,max_pareto,max_theoretical_pareto,max_time,pareto_time
1,1,1,1,random,1,2,3.647804260253906e-05,0.00010609626770019531
1,1,1,1,bagging_divide,1,2,2.2172927856445312e-05,7.200241088867188e-05
1,1,1,1,bagging_remove,1,2,6.246566772460938e-05,0.0002548694610595703
1,1,1,1,bagging_remove_divide,1,2,5.841255187988281e-05,0.00020766258239746094
1,1,1,1,bagging_remove_reverse,1,2,4.410743713378906e-05,0.00013494491577148438
1,1,1,1,bagging_remove_reverse_divide,1,2,4.6253204345703125e-05,0.00014019012451171875
1,1,1,2,random,2,2,3.7670135498046875e-05,0.0002193450927734375
1,1,1,2,bagging_divide,2,2,3.790855407714844e-05,0.00023317337036132812
1,1,1,2,bagging_remove,1,2,5.1021575927734375e-05,0.00011610984802246094
1,1,1,2,bagging_remove_divide,2,2,3.218650817871094e-05,0.00018668174743652344
1,1,1,2,bagging_remove_reverse,1,2,3.147125244140625e-05,0.00011563301086425781
1,1,1,2,bagging_remove_reverse_divide,1,2,2.7894973754882812e-05,0.00010156631469726562
1,1,1,3,random,2,2,2.8371810913085938e-05,0.00016355514526367188
1,1,1,3,bagging_divide,2,2,2.8371810913085938e-05,0.00016450881958007812
1,1,1,3,bagging_remove,2,2,2.8371810913085938e-05,0.0001621246337890625
1,1,1,3,bagging_remove_divide,1,2,2.5272369384765625e-05,9.083747863769531e-05
1,1,1,3,bagging_remove_reverse,2,2,2.4080276489257812e-05,0.00014281272888183594
1,1,1,3,bagging_remove_reverse_divide,1,2,2.4318695068359375e-05,9.965896606445312e-05
1,1,1,4,random,2,2,2.384185791015625e-05,0.00013184547424316406
1,1,1,4,bagging_divide,2,2,2.2649765014648438e-05,0.0001308917999267578
1,1,1,4,bagging_remove,2,2,2.193450927734375e-05,0.00013017654418945312
1,1,1,4,bagging_remove_divide,1,2,2.2411346435546875e-05,8.511543273925781e-05
1,1,1,4,bagging_remove_reverse,2,2,2.002716064453125e-05,0.00011730194091796875
1,1,1,4,bagging_remove_reverse_divide,2,2,2.0503997802734375e-05,0.00011706352233886719
1,1,1,5,random,2,2,2.1219253540039062e-05,0.00011730194091796875
1,1,1,5,bagging_divide,2,2,2.0503997802734375e-05,0.00011801719665527344
1,1,1,5,bagging_remove,2,2,2.0503997802734375e-05,0.00011730194091796875
1,1,1,5,bagging_remove_divide,2,2,1.9311904907226562e-05,0.00014281272888183594
1,1,1,5,bagging_remove_reverse,1,2,1.8835067749023438e-05,6.818771362304688e-05
1,1,1,5,bagging_remove_reverse_divide,1,2,1.8596649169921875e-05,7.009506225585938e-05
1,1,1,6,random,2,2,1.9311904907226562e-05,0.00010943412780761719
1,1,1,6,bagging_divide,2,2,1.8835067749023438e-05,0.00010752677917480469
1,1,1,6,bagging_remove,2,2,1.8835067749023438e-05,0.00010728836059570312
1,1,1,6,bagging_remove_divide,2,2,1.8358230590820312e-05,0.00010657310485839844
1,1,1,6,bagging_remove_reverse,2,2,1.8358230590820312e-05,0.00010967254638671875
1,1,1,6,bagging_remove_reverse_divide,2,2,1.8358230590820312e-05,0.00010704994201660156
1,1,1,7,random,2,2,1.8835067749023438e-05,0.00010561943054199219
1,1,1,7,bagging_divide,2,2,1.8835067749023438e-05,0.00010800361633300781
1,1,1,7,bagging_remove,2,2,1.8835067749023438e-05,0.00010728836059570312
1,1,1,7,bagging_remove_divide,2,2,1.8358230590820312e-05,0.00010728836059570312
1,1,1,7,bagging_remove_reverse,2,2,3.743171691894531e-05,0.00012183189392089844
1,1,1,7,bagging_remove_reverse_divide,1,2,1.8358230590820312e-05,7.104873657226562e-05
1,1,1,8,random,2,2,1.9788742065429688e-05,0.00011110305786132812
1,1,1,8,bagging_divide,2,2,1.8358230590820312e-05,0.00010967254638671875
1,1,1,8,bagging_remove,2,2,1.8835067749023438e-05,0.00010895729064941406
1,1,1,8,bagging_remove_divide,2,2,1.8596649169921875e-05,0.00011110305786132812
1,1,1,8,bagging_remove_reverse,2,2,1.8596649169921875e-05,0.00011181831359863281
1,1,1,8,bagging_remove_reverse_divide,2,2,1.9311904907226562e-05,0.00011563301086425781
1,1,1,9,random,2,2,1.9311904907226562e-05,0.00011372566223144531
1,1,1,9,bagging_divide,2,2,1.9788742065429688e-05,0.00011301040649414062
1,1,1,9,bagging_remove,2,2,2.0742416381835938e-05,0.00011873245239257812
1,1,1,9,bagging_remove_divide,2,2,1.9550323486328125e-05,0.00011587142944335938
